ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45103 10 45359 12 45613 14 45869 14 46124 15 46380 15 46636 14 46893 12 47149 10 47406 9
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50025 4 50277 11 50532 13 50787 15 51042 17 51297 18 51553 18 51808 19 52064 19 52319 20 52575 19 52831 19 53088 17 53345 16 53601 15 53858 12 54115 10
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10891 8 11146 9 11400 12 11655 14 11910 15 12165 16 12421 15 12677 15 12933 14 13189 14 13444 14 13700 13 13957 11 14213 10 14471 6 14728 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,30877 3 31132 5 31375 7 31387 7 31629 11 31643 8 31882 25 32137 26 32392 27 32648 27 32903 27 33159 21 33181 4 33415 20 33671 20 33926 21 34182 20 34438 19 34695 17 34951 15 35207 14 35465 11 35722 9
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50841 6 51096 7 51349 11 51605 12 51859 14 52115 13 52370 14 52626 13 52881 14 53137 14 53392 13 53648 13 53904 11 54160 11 54417 8 54673 7
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38563 6 38818 8 39072 11 39327 12 39581 14 39837 14 40093 14 40349 14 40605 14 40861 13 41117 12 41373 12 41630 10 41887 8 42144 6 42401 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,47231 3 47749 5 48268 7 48787 7 49306 8 49825 8 49846 2 50344 8 50361 8 50863 8 50880 9 51382 8 51398 12 51901 9 51917 12 52420 9 52436 13 52939 11 52955 13 53458 13 53473 14 53977 14 53992 15 54496 31 55015 32 55534 32 56053 33 56572 33 57091 33 57610 33 58129 34 58648 34 59167 34 59686 35 60205 35 60724 35 61243 36 61762 36 62281 36 62800 36 63320 35 63839 34 64358 34 64878 32 65396 33 65915 34 66434 33 66953 33 67471 35 67990 36 68509 36 69029 36 69548 37 70067 38 70586 39 71105 40 71623 42 72142 44 72661 45 73180 47 73699 47 74218 48 74737 50 75256 60 75775 61 76294 62 76813 63 77332 18 77352 44 77851 16 77880 3 77890 25 78370 16 78411 23 78889 15 78932 21 79408 14 79452 21 79927 14 79972 20 80446 14 80491 20 80965 14 81010 20 81484 13 81529 20 82004 12 82048 20 82523 12 82568 19 83042 12 83090 16 83561 12 83612 14 84080 14 84131 14 84599 15 84651 13 85118 16 85172 12 85637 17 85693 11 86157 15 86212 11 86678 13 86731 11 87199 13 87251 10 87719 17 87770 10 88239 21 88288 11 88758 23 88807 11 89277 24 89326 11 89797 24 89845 11 90318 24 90364 11 90838 24 90883 12 91357 24 91403 11 91876 25 91923 10 92395 25 92443 11 92915 24 92963 11 93435 24 93483 10 93955 23 94003 9 94474 22 94522 10 94994 21 95042 10 95513 21 95561 12 96032 20 96080 12 96551 20 96599 13 97071 19 97118 13 97590 20 97637 15 98109 21 98156 16 98628 23 98673 18 99148 31 99183 2 99191 20 99668 62 100187 63 100706 64 101226 64 101745 65 102264 65 102783 66 103303 66 103822 67 104343 65 104863 64 105383 64 105902 65 106423 65 106943 65 107463 64 107984 63 108506 62 109027 61 109547 61 110066 63 110587 62 111107 62 111627 63 112147 63 112668 62 113188 63 113707 64 114227 64 114748 63 115268 63 115787 63 116307 38 116350 19 116828 34 116877 12 117347 32 117397 11 117867 29 117917 10 118386 29 118437 10 118905 28 118957 9 119425 26 119476 9 119946 22 119995 10 120466 20 120514 11 120985 19 121033 12 121504 18 121552 13 122023 17 122072 12 122543 16 122591 14 123062 15 123111 14 123583 13 123631 13 124102 13 124152 12 124622 13 124671 12 125141 15 125191 12 125661 15 125710 14 125736 3 126180 17 126230 15 126247 13 126701 16 126749 31 127221 15 127268 32 127740 15 127788 32 128259 15 128311 28 128778 15 128834 25 129297 16 129356 22 129817 14 129876 21 130336 13 130396 20 130857 9 130917 17
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,117816 1 118334 3 118853 3 119372 4 119890 6 120409 7 120928 7 121447 7 121966 8 122485 8 123004 8 123523 8 124042 8 124561 8 125080 8 125599 8 126118 8 126637 8 127156 8 127675 8 128194 8 128713 8 129232 8 129751 7 130271 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,525 6 1044 7 1564 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24415 11 24932 15 25449 19 25967 21 26485 22 27002 24 27520 25 28038 27 28557 27 29075 29 29593 30 30112 30 30630 31 31149 30 31668 30 32187 29 32706 29 33225 29 33744 28 34263 27 34782 26 35301 25 35821 23 36340 21 36860 19 37380 17 37900 14 38420 11 38941 7 39463 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,118886 1 119403 5 119920 9 120438 12 120957 13 121476 14 121994 16 122513 16 123032 16 123550 17 124069 17 124587 18 125106 18 125625 18 126144 18 126663 18 127182 17 127702 16 128221 16 128741 14 129260 14 129780 12 130304 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,6278 7 6795 11 7312 15 7831 16 8349 17 8377 9 8868 18 8895 10 9387 19 9413 12 9906 20 9931 14 10424 22 10450 15 10942 23 10968 17 11460 25 11487 17 11979 25 12006 17 12498 45 13017 45 13536 45 14055 46 14574 47 15093 25 15120 20 15612 25 15641 19 16131 24 16161 18 16650 24 16681 17 17169 23 17200 17 17688 23 17720 16 18207 22 18239 16 18726 21 18758 16 19245 20 19277 17 19764 20 19797 16 20283 20 20316 16 20802 20 20835 16 21321 19 21354 16 21840 19 21873 16 22360 16 22393 15 22880 14 22913 14 23400 13 23433 12 23920 11 23952 12 24442 5 24473 9 24995 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,27570 6 28085 14 28602 18 29119 22 29637 24 30155 25 30674 25 31192 26 31710 27 32228 28 32747 28 33266 28 33784 29 34303 29 34822 28 35341 26 35860 26 36379 25 36898 24 37416 24 37935 22 38454 22 38973 22 39492 21 40012 18 40531 17 41051 15 41571 12 42093 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,45228 13 45745 17 46262 20 46780 22 47298 25 47817 25 48335 27 48853 28 49371 29 49890 29 50409 29 50928 29 51447 29 51966 29 52485 29 53004 28 53523 27 54043 25 54563 23 55084 19 55608 10
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,62375 3 62890 10 63408 12 63925 15 64443 16 64961 18 65480 19 65999 20 66516 22 67034 23 67553 23 68071 25 68590 25 69109 25 69628 25 70147 25 70666 25 71185 25 71704 25 72223 25 72742 25 73261 25 73780 25 74299 24 74819 23 75338 23 75858 22 76378 21 76897 19 77417 17 77936 17 78455 16 78975 15 79494 14 80015 11 80535 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,85 8 602 11 1121 12 1641 11 2162 8 2682 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,49445 2 49960 9 50477 13 50994 15 51511 18 52029 20 52547 22 53065 23 53583 25 54102 24 54619 26 55137 27 55656 27 56175 27 56693 28 57212 27 57731 26 58250 26 58769 25 59288 25 59807 25 60326 24 60844 24 61363 23 61883 21 62402 21 62921 21 63440 21 63960 19 64479 18 64998 16 65518 15 66038 13 66558 10 67079 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,20389 8 20906 13 21423 16 21941 19 22460 20 22978 22 23483 6 23497 22 24000 9 24016 23 24517 15 24534 25 25035 44 25554 44 26072 45 26591 45 27110 46 27629 46 28148 46 28667 47 29186 47 29705 48 30224 48 30743 48 31262 48 31781 48 32300 48 32820 46 33339 46 33858 45 34377 45 34897 43 35417 41 35937 38 36456 36 36976 21 37496 19 38016 17 38537 14 39058 10 39580 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,93547 9 94065 12 94582 15 95100 16 95619 17 96138 17 96657 19 97176 19 97695 20 98214 20 98733 20 99252 20 99771 20 100290 21 100809 22 101328 23 101847 23 102367 22 102888 20 103407 20 103927 18 104446 18 104966 16 105487 14 106007 12 106529 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,127 23 644 27 1163 27 1683 26 2203 25 2722 24 3242 23 3762 22 4282 21 4801 21 5321 20 5840 20 6359 20 6879 19 7400 17 7920 14 8440 11 8961 8
